actor;name;type;roster2014;roster2020;mstrat2014;mstrat2020
FI001;Aalto University;university;yes;yes;1;0
FI002;ABB;corporate_private;yes;yes;0;0
FI003;Confederation of Unions for Professional and Managerial Staff;trade_union;yes;yes;0;0
FI004;Automobile and Touring Club of Finland;interest_group;yes;yes;0;0
FI005;Cleantech Finland;interest_group;yes;no;0;0
FI006;Demos Helsinki;research_institute;yes;yes;0;0
FI007;Dodo;non_governmental;yes;yes;0;0
FI008;Confederation of Finnish Industries;interest_group;yes;yes;0;1
FI009;ETLA Economic Research;research_institute;yes;yes;0;0
FI010;Finnish Energy;interest_group;yes;yes;1;1
FI011;Energy Authority;government_agency;yes;yes;1;1
FI012;Fennovoima;corporate_private;yes;yes;0;0
FI013;Bioenergy Association of Finland;interest_group;yes;yes;1;1
FI014;Finnair;corporate_public;yes;yes;0;0
FI015;Fortum;corporate_public;yes;yes;1;1
FI016;Greenpeace Finland;non_governmental;yes;yes;1;1
FI017;Helsinki Energy;corporate_public;yes;yes;1;1
FI018;University of Helsinki;university;yes;yes;0;0
FI019;Climate Forum Finland;non_governmental;yes;yes;0;0
FI020;Finnish Climate Panel;research_institute;yes;yes;0;0
FI021;Finnish Meteorological Institute;research_institute;yes;yes;1;1
FI022;University of Eastern Finland;university;yes;yes;1;1
FI023;National Coalition Party;political_party;yes;yes;1;1
FI024;Finnish NGDO Platform to the European Union;non_governmental;yes;no;0;0
FI025;Chemical Industry Federation of Finland;interest_group;yes;yes;0;1
FI026;Finnish Development NGOs;non_governmental;yes;yes;1;1
FI027;Centre Party;political_party;yes;yes;1;1
FI028;Finn Church Aid;non_governmental;yes;no;0;0
FI029;Christian Democrats;political_party;yes;yes;0;0
FI030;Association of Finnish Municipalities;interest_group;yes;yes;0;0
FI031;Heating Energy Association;interest_group;yes;yes;1;1
FI032;Lappeenranta-Lahti University of Technology;university;yes;yes;1;1
FI033;Ministry of Transport and Communications;government_ministry;yes;yes;1;1
FI034;Finnish Organic Association;interest_group;yes;yes;0;0
FI035;Finnish Nature League;non_governmental;yes;yes;0;0
FI036;Agrifood Research Finland;research_institute;yes;no;0;0
FI037;Ministry of Agriculture and Forestry;government_ministry;yes;yes;0;0
FI038;Central Union of Agricultural Producers and Forest Owners;interest_group;yes;yes;1;1
FI039;Friends of the Earth Finland;non_governmental;yes;yes;1;1
FI040;Industrial Union;trade_union;yes;yes;0;0
FI041;Metsa Group;corporate_private;yes;yes;1;1
FI042;Finnish Forest Research Institute;research_institute;yes;no;0;0
