from;to
FI001;FI006
FI001;FI018
FI001;FI020
FI001;FI021
FI001;FI022
FI001;FI045
FI001;FI070
FI001;FI076
FI001;FI078
FI001;FI080
FI001;FI085
FI001;FI093
FI001;FI096
FI002;FI001
FI002;FI005
FI002;FI008
FI002;FI009
FI002;FI010
FI002;FI011
FI002;FI023
FI002;FI027
FI002;FI032
FI002;FI061
FI002;FI065
FI002;FI068
FI002;FI073
FI002;FI074
FI002;FI079
FI002;FI081
FI002;FI091
FI002;FI096
FI002;FI099
FI002;FI103
FI002;FI108
FI003;FI003
FI003;FI005
FI003;FI006
FI003;FI008
FI003;FI010
FI003;FI016
FI003;FI023
FI003;FI026
FI003;FI027
FI003;FI029
FI003;FI035
FI003;FI038
FI003;FI039
FI003;FI044
FI003;FI046
FI003;FI052
FI003;FI053
FI003;FI054
FI003;FI058
FI003;FI061
FI003;FI063
FI003;FI064
FI003;FI067
FI003;FI071
FI003;FI077
FI003;FI079
FI003;FI081
FI003;FI082
FI003;FI083
FI003;FI086
FI003;FI087
FI003;FI089
FI003;FI090
FI003;FI091
FI003;FI092
FI003;FI094
FI003;FI095
FI003;FI097
FI003;FI099
FI003;FI100
FI003;FI101
FI005;FI002
FI005;FI006
FI005;FI008
FI005;FI015
FI005;FI017
FI005;FI023
FI005;FI045
FI005;FI048
FI005;FI051
FI005;FI062
FI005;FI065
FI005;FI079
FI005;FI091
FI005;FI093
FI005;FI094
FI005;FI096
FI006;FI001
FI006;FI007
FI006;FI018
FI006;FI022
FI006;FI028
FI006;FI047
FI006;FI051
FI006;FI060
FI006;FI065
FI006;FI070
FI006;FI073
FI006;FI077
FI006;FI080
FI006;FI092
FI006;FI093
FI006;FI095
FI006;FI096
FI007;FI026
FI007;FI034
FI007;FI035
FI007;FI046
FI007;FI067
FI009;FI001
FI009;FI005
FI009;FI008
FI009;FI009
FI009;FI010
FI009;FI018
FI009;FI025
FI009;FI030
FI009;FI033
FI009;FI036
FI009;FI037
FI009;FI038
FI009;FI042
FI009;FI043
FI009;FI049
FI009;FI052
FI009;FI065
FI009;FI073
FI009;FI074
FI009;FI079
FI009;FI080
FI009;FI081
FI009;FI085
FI009;FI086
FI009;FI087
FI009;FI093
FI009;FI096
FI009;FI099
FI009;FI101
FI009;FI114
FI011;FI010
FI011;FI013
FI011;FI015
FI011;FI017
FI011;FI033
FI011;FI041
FI011;FI045
FI011;FI048
FI011;FI050
FI011;FI051
FI011;FI057
FI011;FI062
FI011;FI063
FI011;FI068
FI011;FI076
FI011;FI079
FI011;FI082
FI011;FI093
FI011;FI096
FI013;FI008
FI013;FI010
FI013;FI023
FI013;FI027
FI013;FI030
FI013;FI031
FI013;FI037
FI013;FI038
FI013;FI042
FI013;FI043
FI013;FI066
FI013;FI071
FI013;FI074
FI013;FI076
FI013;FI079
FI013;FI093
FI013;FI096
FI014;FI001
FI014;FI003
FI014;FI005
FI014;FI006
FI014;FI008
FI014;FI009
FI014;FI010
FI014;FI011
FI014;FI014
FI014;FI015
FI014;FI016
FI014;FI018
FI014;FI021
FI014;FI022
FI014;FI032
FI014;FI033
FI014;FI040
FI014;FI045
FI014;FI048
FI014;FI064
FI014;FI065
FI014;FI067
FI014;FI070
FI014;FI072
FI014;FI073
FI014;FI077
FI014;FI078
FI014;FI079
FI014;FI080
FI014;FI083
FI014;FI086
FI014;FI087
FI014;FI092
FI014;FI093
FI014;FI095
FI014;FI096
FI014;FI099
FI014;FI121
FI015;FI001
