actor;status;A0101;A0102;A0107;A0110;A0111;A0112;A0113;A0121;A0122;A0123;G0101;G0103;G0104;G0107;G0108;G0110;G0113;G0116;G0117;G0119;G0125;G0126;G0127;G0401;G0402;G0404;G0405;G0407;G0408;G0410;H0105;H0107
FI001;respondent;5;5;1;5;1;5;4;4;4;5;2;2;3;3;5;2;5;4;3;4;4;5;5;5;2;4;1;1;4;5;5;5
FI002;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI003;respondent;5;5;1;4;2;4;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;4;2;2;4;5;NA;NA
FI004;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI005;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI006;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI007;respondent;5;5;1;5;1;4;2;2;5;4;5;5;2;4;5;5;NA;5;5;5;5;5;NA;5;1;5;2;1;4;5;5;5
FI008;respondent;5;5;1;5;3;4;2;4;4;2;4;4;4;4;4;4;4;4;4;4;3;4;2;5;1;5;2;1;5;5;4;4
FI009;respondent;5;5;1;4;2;3;5;4;NA;4;4;4;5;5;5;4;5;5;5;5;4;4;4;4;2;4;4;1;5;4;5;5
FI010;respondent;5;5;1;4;3;4;5;4;4;2;4;4;5;5;5;4;1;2;5;5;2;1;4;4;1;4;3;2;4;4;4;5
FI011;respondent;5;4;2;4;4;2;4;2;2;5;4;4;4;4;4;4;5;5;5;5;2;3;4;4;2;5;2;1;5;5;5;5
FI012;respondent;5;5;1;5;2;4;4;2;4;4;4;4;5;4;4;4;4;4;4;4;3;2;3;4;2;4;4;2;1;2;5;5
FI013;respondent;5;5;1;5;3;4;4;4;3;5;5;4;5;5;5;5;4;4;5;5;3;2;5;5;1;4;3;2;5;5;5;5
FI014;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI015;respondent;5;5;1;4;1;4;5;4;5;2;4;4;5;5;2;4;1;2;5;4;2;2;2;5;2;5;2;1;5;5;5;5
FI016;respondent;5;5;1;5;2;4;2;4;4;4;4;4;3;3;5;3;5;5;4;5;5;5;2;5;1;4;2;1;4;5;4;2
FI017;respondent;5;5;1;4;3;3;4;2;4;2;4;4;5;4;5;2;4;2;5;5;2;2;4;2;2;4;3;2;5;5;5;5
FI018;respondent;5;5;1;5;2;5;3;4;4;5;5;5;4;4;5;3;4;5;5;5;4;4;3;4;1;4;2;1;3;5;5;5
FI019;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI020;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI021;respondent;5;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI022;respondent;5;5;1;5;2;4;4;2;4;5;5;5;3;3;5;5;5;5;5;5;5;4;4;5;1;5;1;1;5;5;5;5
FI023;respondent;5;5;1;5;3;5;5;4;5;4;5;4;5;5;5;5;5;5;5;5;2;5;4;5;1;5;2;1;4;5;5;5
FI024;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI025;respondent;5;5;1;4;3;2;3;3;4;3;3;4;4;4;4;3;3;2;4;4;3;3;4;4;3;4;3;2;3;4;5;5
FI026;respondent;5;5;1;5;1;5;2;5;5;5;5;5;1;3;5;5;5;5;4;5;5;5;2;5;1;4;1;1;5;5;5;5
FI027;respondent;5;5;1;4;3;4;4;4;4;4;4;4;5;5;5;4;4;4;5;5;1;4;5;4;1;5;4;1;5;5;5;5
