aktivismi: aktivismi yleisesti;aktivismi: kaupungeilla tarkea rooli;energia: aurinko;energia: energiatehokkuus yleisesti;energia: fluoratut hiilivedyt;energia: geoterminen;energia: maakaasu;energia: puupohjaiset;energia: turve;energia: tuuli;energia: uusiutuvat yleisesti;energia: ydin;idea: antroposentrinen IM totta;idea: cleantech;idea: ilmastonmuokkaus teknisin keinoin;idea: ilmastopolitiikka suunniteltava politiikan eri lohkojen kokonaisuutena;idea: ilmastotoimet tarkeita;idea: ilmastotoimien kiireellisyys;idea: IM totta;idea: kansainvalinen yhteistyo;idea: koyhien maiden rahoitus;idea: luotettava tutkimustieto;idea: oikeudenmukaisuus paastovahennyksissa maiden valilla;idea: suomelle nakyva rooli kansainvalisissa ilmastoneuvotteluissa;idea: tiukemmat tavoitteet ja niiden mukaiset toimet;idea: vahva johtajuus;infra: tiivis yhdyskuntarakenne;liikenne: (bio-)kaasuautot;liikenne: biopolttoaineet yleisesti;liikenne: joukkoliikenne, kavely, pyoraily;liikenne: sahkoautot;metsat: hakkuutaso korkeintaan nykyisellaan;metsat: pitkaikaiset puutuotteet ja puurakentaminen;metsat: selkea muutos maa- ja metsatalouskaytannoissa;metsat: suojelualan kasvattaminen yleisesti;saantely: globaali hiilivero;saantely: julkiset tuet puhtaille energiamuodoille;saantely: kansallinen ilmastolaki;saantely: paastojen verotus yleisesti;saantely: paastokauppa;saantely: paastoleikkausten kulujen korvaus;saantely: pariisin sopimuksen alaisten kansallisten sitoumusten laillinen sitovuus;saantely: pariisin sopimus tarkea toimi;saantely: ylijaaneet paasto-oikeudet mitatoitava;seuraukset: ilmastotieteessa viela epavarmuuksia;seuraukset: negatiiviset saa- ja luonnonilmiot;seuraukset: negatiiviset sosiaaliset;seuraukset: negatiiviset taloudelliset;talous: biotalous;talous: ilmastotoimet luovat talouskasvua;talous: kiertotalous;talous: kilpailukyky > ilmastotoimet;talous: kulutustapojen muutos;talous: markkinat > saantely;talous: markkinoiden toiminta ja ennakoitavuus;talous: yritysten huomioitava IM ollakseen merkittavia tulevaisuudessa;energia: fossiiliset yleisestiN;energia: kivihiiliN;energia: oljyN;energia: puupohjaisetN;energia: turveN;energia: tuuliN;idea: ilmastonmuokkaus teknisin keinoinN;idea: ilmastotoimet tarkeitaN;liikenne: biopolttoaineet yleisestiN;metsat: hakkuutaso korkeintaan nykyisellaanN;metsat: selkea muutos maa- ja metsatalouskaytannoissaN;saantely: julkiset tuet puhtaille energiamuodoilleN;saantely: paastojen verotus yleisestiN;saantely: ymparistolle haitalliset tuetN;talous: ilmastotoimet luovat talouskasvuaN;talous: jatkuvan kasvun tavoitteluN;talous: markkinat > saantelyN
FI016;1;0;1;1;0;0;0;0;0;0;4;0;1;0;0;0;1;2;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2;1;1;0;1;0;0;0;0;0;0;5;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1
FI091;1;1;1;2;0;0;0;1;0;3;0;0;0;2;0;0;2;0;0;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;2;4;0;0;4;0;0;1;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2
FI096;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
FI023;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI024;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI026;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
FI027;0;0;1;0;0;0;0;2;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
FI035;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI039;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FI046;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
