from;to
FI001;FI008
FI001;FI011
FI001;FI015
FI001;FI017
FI001;FI019
FI001;FI020
FI001;FI021
FI001;FI030
FI001;FI033
FI001;FI036
FI001;FI037
FI001;FI038
FI001;FI039
FI001;FI045
FI001;FI054
FI001;FI065
FI001;FI070
FI001;FI074
FI001;FI075
FI001;FI079
FI001;FI080
FI001;FI086
FI001;FI087
FI001;FI091
FI001;FI093
FI001;FI096
FI001;FI099
FI001;FI102
FI001;FI103
FI002;FI008
FI002;FI009
FI002;FI010
FI002;FI015
FI002;FI023
FI002;FI027
FI002;FI030
FI002;FI048
FI002;FI061
FI002;FI065
FI002;FI074
FI002;FI079
FI002;FI080
FI002;FI081
FI002;FI086
FI002;FI087
FI002;FI091
FI002;FI095
FI002;FI096
FI002;FI097
FI002;FI099
FI002;FI100
FI002;FI102
FI002;FI103
FI002;FI105
FI003;FI003
FI003;FI006
FI003;FI008
FI003;FI009
FI003;FI011
FI003;FI015
FI003;FI016
FI003;FI017
FI003;FI019
FI003;FI020
FI003;FI021
FI003;FI023
FI003;FI026
FI003;FI027
FI003;FI030
FI003;FI033
FI003;FI036
FI003;FI037
FI003;FI042
FI003;FI045
FI003;FI053
FI003;FI054
FI003;FI064
FI003;FI065
FI003;FI067
FI003;FI069
FI003;FI070
FI003;FI079
FI003;FI080
FI003;FI083
FI003;FI085
FI003;FI086
FI003;FI087
FI003;FI089
FI003;FI091
FI003;FI093
FI003;FI095
FI003;FI096
FI003;FI097
FI003;FI099
FI003;FI100
FI003;FI101
FI003;FI102
FI003;FI103
FI003;FI104
FI003;FI105
FI003;FI106
FI003;FI107
FI003;FI108
FI003;FI114
FI003;FI117
FI005;FI001
FI005;FI002
FI005;FI005
FI005;FI008
FI005;FI010
FI005;FI015
FI005;FI017
FI005;FI018
FI005;FI021
FI005;FI023
FI005;FI043
FI005;FI048
FI005;FI051
FI005;FI062
FI005;FI065
FI005;FI066
FI005;FI067
FI005;FI070
FI005;FI074
FI005;FI075
FI005;FI079
FI005;FI091
FI005;FI093
FI005;FI094
FI005;FI095
FI005;FI096
FI005;FI097
FI005;FI099
FI005;FI100
FI005;FI101
FI005;FI102
FI005;FI103
FI005;FI104
FI005;FI105
FI005;FI108
FI005;FI121
FI006;FI001
FI006;FI004
FI006;FI006
FI006;FI007
FI006;FI008
FI006;FI010
FI006;FI015
FI006;FI016
FI006;FI018
FI006;FI022
FI006;FI023
FI006;FI028
FI006;FI035
FI006;FI039
FI006;FI057
FI006;FI063
FI006;FI065
FI006;FI067
FI006;FI073
FI006;FI075
FI006;FI079
FI006;FI086
FI006;FI088
FI006;FI091
FI006;FI093
FI006;FI095
FI006;FI096
FI006;FI097
FI006;FI099
FI006;FI100
FI006;FI101
FI006;FI102
FI006;FI103
FI006;FI104
FI006;FI105
FI006;FI106
FI006;FI111
FI006;FI112
FI006;FI114
FI006;FI115
FI006;FI117
FI006;FI118
FI006;FI120
FI006;FI121
FI007;FI001
FI007;FI002
FI007;FI003
FI007;FI006
FI007;FI008
FI007;FI009
FI007;FI010
FI007;FI012
FI007;FI015
FI007;FI016
FI007;FI017
FI007;FI018
FI007;FI019
FI007;FI020
FI007;FI023
FI007;FI025
FI007;FI026
FI007;FI027
FI007;FI036
FI007;FI038
FI007;FI040
FI007;FI041
FI007;FI042
FI007;FI043
FI007;FI044
FI007;FI047
FI007;FI048
FI007;FI049
FI007;FI050
FI007;FI051
FI007;FI053
FI007;FI057
FI007;FI060
FI007;FI062
FI007;FI063
FI007;FI064
FI007;FI067
FI007;FI069
FI007;FI073
FI007;FI075
FI007;FI077
FI007;FI082
FI007;FI084
FI007;FI091
FI007;FI094
FI007;FI095
FI007;FI097
FI007;FI099
FI007;FI100
FI007;FI101
FI007;FI102
FI007;FI103
FI007;FI104
FI007;FI105
FI007;FI106
FI007;FI107
FI007;FI108
FI007;FI112
FI007;FI113
FI007;FI114
FI007;FI120
FI007;FI121
FI009;FI001
FI009;FI003
FI009;FI004
FI009;FI005
FI009;FI008
FI009;FI009
FI009;FI010
FI009;FI011
FI009;FI012
FI009;FI015
FI009;FI016
FI009;FI017
FI009;FI018
FI009;FI020
FI009;FI021
FI009;FI022
FI009;FI023
FI009;FI025
FI009;FI026
FI009;FI027
FI009;FI028
FI009;FI030
